CODE (AOU/BBL)	SCIENTIFIC NAME	ENGLISH NAME 
FOSP	Passerella iliaca	FOX SPARROW
ATSP	Spizelloides arborea	AMERICAN TREE SPARROW
DEJU	Junco hyemalis	DARK-EYED JUNCO
WCSP	Zonotrichia leucophrys	WHITE-CROWNED SPARROW
GCSP	Zonotrichia atricapilla	GOLDEN-CROWNED SPARROW
HASP	Zonotrichia querula	HARRIS'S SPARROW
WTSP	Zonotrichia albicollis	WHITE-THROATED SPARROW
BESP	Artemisiospiza belli	BELL'S SPARROW
SABS	Artemisiospiza nevadensis	SAGEBRUSH SPARROW
VESP	Pooecetes gramineus	VESPER SPARROW
SAVS	Passerculus sandwichensis	SAVANNAH SPARROW
SOSP	Melospiza melodia	SONG SPARROW
LISP	Melospiza lincolnii	LINCOLN'S SPARROW
SWSP	Melospiza georgiana	SWAMP SPARROW
CALT	Melozone crissalis	CALIFORNIA TOWHEE
RCSP	Aimophila ruficeps	RUFOUS-CROWNED SPARROW
GTTO	Pipilo chlorurus	GREEN-TAILED TOWHEE
SPTO	Pipilo maculatus	SPOTTED TOWHEE
YBCH	Icteria virens	YELLOW-BREASTED CHAT
YHBL	Xanthocephalus xanthocephalus	YELLOW-HEADED BLACKBIRD
BOBO	Dolichonyx oryzivorus	BOBOLINK
WEME	Sturnella neglecta	WESTERN MEADOWLARK
OROR	Icterus spurius	ORCHARD ORIOLE
HOOR	Icterus cucullatus	HOODED ORIOLE
BUOR	Icterus bullockii	BULLOCK'S ORIOLE
BAOR	Icterus galbula	BALTIMORE ORIOLE
RWBL	Agelaius phoeniceus	RED-WINGED BLACKBIRD
TRBL	Agelaius tricolor	TRICOLORED BLACKBIRD
BHCO	Molothrus ater	BROWN-HEADED COWBIRD
RUBL	Euphagus carolinus	RUSTY BLACKBIRD
BRBL	Euphagus cyanocephalus	BREWER'S BLACKBIRD
GTGR	Quiscalus mexicanus	GREAT-TAILED GRACKLE
OVEN	Seiurus aurocapilla	OVENBIRD
WEWA	Helmitheros vermivorum	WORM-EATING WARBLER
NOWA	Parkesia noveboracensis	NORTHERN WATERTHRUSH
BAWW	Mniotilta varia	BLACK-AND-WHITE WARBLER
TEWA	Leiothlypis peregrina	TENNESSEE WARBLER
OCWA	Leiothlypis celata	ORANGE-CROWNED WARBLER
NAWA	Leiothlypis ruficapilla	NASHVILLE WARBLER
MGWA	Geothlypis tolmiei	MACGILLIVRAY'S WARBLER
KEWA	Geothlypis formosa	KENTUCKY WARBLER
COYE	Geothlypis trichas	COMMON YELLOWTHROAT
HOWA	Setophaga citrina	HOODED WARBLER
AMRE	Setophaga ruticilla	AMERICAN REDSTART
NOPA	Setophaga americana	NORTHERN PARULA
MAWA	Setophaga magnolia	MAGNOLIA WARBLER
BBWA	Setophaga castanea	BAY-BREASTED WARBLER
BLBW	Setophaga fusca	BLACKBURNIAN WARBLER
YEWA	Setophaga petechia	YELLOW WARBLER
CSWA	Setophaga pensylvanica	CHESTNUT-SIDED WARBLER
BLPW	Setophaga striata	BLACKPOLL WARBLER
BTBW	Setophaga caerulescens	BLACK-THROATED BLUE WARBLER
PAWA	Setophaga palmarum	PALM WARBLER
YRWA	Setophaga coronata	YELLOW-RUMPED WARBLER
YTWA	Setophaga dominica	YELLOW-THROATED WARBLER
BTYW	Setophaga nigrescens	BLACK-THROATED GRAY WARBLER
TOWA	Setophaga townsendi	TOWNSEND'S WARBLER
HEWA	Setophaga occidentalis	HERMIT WARBLER
BTNW	Setophaga virens	BLACK-THROATED GREEN WARBLER
CAWA	Cardellina canadensis	CANADA WARBLER
WIWA	Cardellina pusilla	WILSON'S WARBLER
SUTA	Piranga rubra	SUMMER TANAGER
WETA	Piranga ludoviciana	WESTERN TANAGER
RBGR	Pheucticus ludovicianus	ROSE-BREASTED GROSBEAK
BHGR	Pheucticus melanocephalus	BLACK-HEADED GROSBEAK
BLGR	Passerina caerulea	BLUE GROSBEAK
LAZB	Passerina amoena	LAZULI BUNTING
INBU	Passerina cyanea	INDIGO BUNTING
		
		TOTAL (NIB)
		COMPLETE COUNTY LIST (NIB)
		PERCENT OF COMPLETE COUNTY LIST (NIB)
		
		INTRODUCED  SPECIES
WITU	Meleagris gallopavo	WILD TURKEY
ROPI	Columba livia	ROCK PIGEON
EUCD	Streptopelia decaocto	EURASIAN COLLARED-DOVE
SBMU	Lonchura punctulata	SCALY-BREASTED MUNIA
EUST	Sturnus vulgaris	EUROPEAN STARLING
HOSP	Passer domesticus	HOUSE SPARROW
MUSW	Cygnus olor	MUTE SWAN
RNEP	Phasianus colchicus	RING-NECKED PHEASANT
		INTRODUCED/EXOTIC SUBTOTAL
		
		GRAND TOTAL SPECIES
